Date : 2023-12-19 12:53:48
Directory : c:\Users\29032\Desktop\daershang\database
Total : 1521 files,  294900 codes, 91895 comments, 38805 blanks, all 425600 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| phpMyAdmin4.8.5\vendor\twig\twig\src\Cache                                                                                                           |          3 |         24 |          0 |         12 |         36 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\Error                                                                                                           |          4 |         32 |          0 |         16 |         48 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\Extension                                                                                                       |         13 |        101 |         11 |         52 |        164 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\Loader                                                                                                          |          6 |         48 |          0 |         24 |         72 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\Node                                                                                                            |         81 |        648 |          0 |        324 |        972 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\Node (Files)                                                                                                    |         27 |        216 |          0 |        108 |        324 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\NodeVisitor                                                                                                     |          6 |         48 |          0 |         24 |         72 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\Node\Expression                                                                                                 |         54 |        432 |          0 |        216 |        648 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\Node\Expression (Files)                                                                                         |         16 |        128 |          0 |         64 |        192 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\Node\Expression\Binary                                                                                          |         26 |        208 |          0 |        104 |        312 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\Node\Expression\Filter                                                                                          |          1 |          8 |          0 |          4 |         12 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\Node\Expression\Test                                                                                            |          7 |         56 |          0 |         28 |         84 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\Node\Expression\Unary                                                                                           |          4 |         32 |          0 |         16 |         48 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\Profiler                                                                                                        |          8 |         64 |          0 |         32 |         96 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\Profiler (Files)                                                                                                |          1 |          8 |          0 |          4 |         12 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\Profiler\Dumper                                                                                                 |          4 |         32 |          0 |         16 |         48 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\Profiler\Node                                                                                                   |          2 |         16 |          0 |          8 |         24 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\Profiler\NodeVisitor                                                                                            |          1 |          8 |          0 |          4 |         12 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\RuntimeLoader                                                                                                   |          3 |         24 |          0 |         12 |         36 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\Sandbox                                                                                                         |          8 |         64 |          0 |         32 |         96 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\Test                                                                                                            |          2 |         16 |          0 |          8 |         24 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\TokenParser                                                                                                     |         21 |        168 |          0 |         84 |        252 |
| phpMyAdmin4.8.5\vendor\twig\twig\src\Util                                                                                                            |          2 |         16 |          0 |          8 |         24 |
| register                                                                                                                                             |          1 |         57 |          9 |         13 |         79 |
| selection                                                                                                                                            |          1 |         25 |          5 |          6 |         36 |
| student                                                                                                                                              |          5 |        106 |          5 |         18 |        129 |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                             | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\29032\Desktop\daershang\database\README.md                                                                                                  | Markdown           |          1 |          0 |          1 |          2 |
| c:\Users\29032\Desktop\daershang\database\ajax.js                                                                                                    | JavaScript         |         80 |          1 |          9 |         90 |
| c:\Users\29032\Desktop\daershang\database\count\rank.php                                                                                             | PHP                |         25 |          5 |          7 |         37 |
| c:\Users\29032\Desktop\daershang\database\count\show.php                                                                                             | PHP                |         27 |          5 |          7 |         39 |
| c:\Users\29032\Desktop\daershang\database\course\delete.php                                                                                          | PHP                |         19 |          0 |          1 |         20 |
| c:\Users\29032\Desktop\daershang\database\course\insert.php                                                                                          | PHP                |         22 |          0 |          4 |         26 |
| c:\Users\29032\Desktop\daershang\database\course\show.php                                                                                            | PHP                |         22 |          5 |          7 |         34 |
| c:\Users\29032\Desktop\daershang\database\course\update.php                                                                                          | PHP                |         19 |          0 |          3 |         22 |
| c:\Users\29032\Desktop\daershang\database\course\update1.php                                                                                         | PHP                |         22 |          0 |          3 |         25 |
| c:\Users\29032\Desktop\daershang\database\grade\delete_grade.php                                                                                     | PHP                |         20 |          0 |          1 |         21 |
| c:\Users\29032\Desktop\daershang\database\grade\insert.php                                                                                           | PHP                |         21 |          0 |          3 |         24 |
| c:\Users\29032\Desktop\daershang\database\grade\search.php                                                                                           | PHP                |         23 |          5 |          6 |         34 |
| c:\Users\29032\Desktop\daershang\database\grade\show.php                                                                                             | PHP                |         22 |          5 |          7 |         34 |
| c:\Users\29032\Desktop\daershang\database\grade\update_grade.php                                                                                     | PHP                |         20 |          0 |          3 |         23 |
| c:\Users\29032\Desktop\daershang\database\grade\update_grade1.php                                                                                    | PHP                |         21 |          0 |          3 |         24 |
| c:\Users\29032\Desktop\daershang\database\login.html                                                                                                 | HTML               |         97 |          0 |         10 |        107 |
| c:\Users\29032\Desktop\daershang\database\login\login.php                                                                                            | PHP                |         41 |         13 |         11 |         65 |
| c:\Users\29032\Desktop\daershang\database\paging.php                                                                                                 | PHP                |         38 |          1 |          3 |         42 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\.eslintrc.json                                                                             | JSON with Comments |         42 |          0 |          1 |         43 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\CODE_OF_CONDUCT.md                                                                         | Markdown           |         28 |          0 |         19 |         47 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\CONTRIBUTING.md                                                                            | Markdown           |         28 |          0 |         16 |         44 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\ajax.php                                                                                   | PHP                |         39 |          6 |          7 |         52 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\browse_foreigners.php                                                                      | PHP                |         50 |         13 |         12 |         75 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\changelog.php                                                                              | PHP                |         74 |         25 |         19 |        118 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\chk_rel.php                                                                                | PHP                |         21 |          9 |          7 |         37 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\composer.json                                                                              | JSON               |         97 |          0 |          1 |         98 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\composer.lock                                                                              | JSON               |      2,667 |          0 |          1 |      2,668 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\config.sample.inc.php                                                                      | PHP                |         10 |        126 |         19 |        155 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_central_columns.php                                                                     | PHP                |        166 |          9 |          7 |        182 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_datadict.php                                                                            | PHP                |        140 |         46 |         30 |        216 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_designer.php                                                                            | PHP                |        177 |          8 |         31 |        216 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_events.php                                                                              | PHP                |          4 |         12 |          3 |         19 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_export.php                                                                              | PHP                |        122 |         16 |         13 |        151 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_import.php                                                                              | PHP                |         28 |          9 |          8 |         45 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_multi_table_query.php                                                                   | PHP                |         27 |          6 |          6 |         39 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_operations.php                                                                          | PHP                |        192 |         73 |         44 |        309 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_qbe.php                                                                                 | PHP                |        140 |         22 |         17 |        179 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_routines.php                                                                            | PHP                |          5 |         15 |          4 |         24 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_search.php                                                                              | PHP                |         46 |         17 |         11 |         74 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_sql.php                                                                                 | PHP                |         23 |         17 |          7 |         47 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_sql_autocomplete.php                                                                    | PHP                |         19 |          6 |          3 |         28 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_sql_format.php                                                                          | PHP                |          7 |         10 |          5 |         22 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_structure.php                                                                           | PHP                |         25 |          8 |          6 |         39 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_tracking.php                                                                            | PHP                |        110 |         21 |         24 |        155 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\db_triggers.php                                                                            | PHP                |          4 |         12 |          3 |         19 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\_static\basic.css                                                                 | CSS                |        452 |         26 |        133 |        611 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\_static\classic.css                                                               | CSS                |        196 |         13 |         52 |        261 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\_static\default.css                                                               | CSS                |          1 |          0 |          1 |          2 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\_static\doctools.js                                                               | JavaScript         |        185 |         76 |         26 |        287 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\_static\jquery.js                                                                 | JavaScript         |      6,607 |      1,686 |      1,927 |     10,220 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\_static\pygments.css                                                              | CSS                |         69 |          0 |          0 |         69 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\_static\searchtools.js                                                            | JavaScript         |        570 |        106 |         75 |        751 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\_static\sidebar.js                                                                | JavaScript         |        104 |         33 |         22 |        159 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\_static\underscore.js                                                             | JavaScript         |      1,071 |        300 |        178 |      1,549 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\_static\websupport.js                                                             | JavaScript         |        638 |        106 |         65 |        809 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\bookmarks.html                                                                    | HTML               |        176 |          0 |         10 |        186 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\charts.html                                                                       | HTML               |        290 |          0 |         10 |        300 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\config.html                                                                       | HTML               |      5,902 |          0 |        308 |      6,210 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\copyright.html                                                                    | HTML               |        141 |          0 |         10 |        151 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\credits.html                                                                      | HTML               |      1,343 |          0 |         10 |      1,353 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\developers.html                                                                   | HTML               |        108 |          0 |          9 |        117 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\faq.html                                                                          | HTML               |      1,998 |          0 |         19 |      2,017 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\genindex.html                                                                     | HTML               |      2,263 |          0 |      2,002 |      4,265 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\glossary.html                                                                     | HTML               |        629 |          0 |          9 |        638 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\import_export.html                                                                | HTML               |        452 |          0 |         18 |        470 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\index.html                                                                        | HTML               |        218 |          0 |         10 |        228 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\intro.html                                                                        | HTML               |        185 |          0 |         10 |        195 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\other.html                                                                        | HTML               |        148 |          0 |         10 |        158 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\privileges.html                                                                   | HTML               |        178 |          0 |         10 |        188 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\relations.html                                                                    | HTML               |        184 |          0 |         10 |        194 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\require.html                                                                      | HTML               |        162 |          0 |         10 |        172 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\search.html                                                                       | HTML               |         89 |          0 |         13 |        102 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\searchindex.js                                                                    | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\security.html                                                                     | HTML               |        209 |          0 |         10 |        219 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\settings.html                                                                     | HTML               |        121 |          0 |          9 |        130 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\setup.html                                                                        | HTML               |      1,400 |          0 |         54 |      1,454 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\themes.html                                                                       | HTML               |        208 |          0 |         16 |        224 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\transformations.html                                                              | HTML               |        235 |          0 |         10 |        245 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\two_factor.html                                                                   | HTML               |        168 |          0 |         10 |        178 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\user.html                                                                         | HTML               |        160 |          0 |          9 |        169 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\doc\html\vendors.html                                                                      | HTML               |        135 |          0 |         10 |        145 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\error\400.html                                                                             | HTML               |        180 |          0 |         22 |        202 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\error\403.html                                                                             | HTML               |        182 |          0 |         21 |        203 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\error\404.html                                                                             | HTML               |        183 |          0 |         20 |        203 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\error\500.html                                                                             | HTML               |        184 |          0 |         22 |        206 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\error\501.html                                                                             | HTML               |        179 |          0 |         23 |        202 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\error\502.html                                                                             | HTML               |        183 |          0 |         21 |        204 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\error\503.html                                                                             | HTML               |        180 |          0 |         23 |        203 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\error\504.html                                                                             | HTML               |        189 |          0 |         30 |        219 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\error\505.html                                                                             | HTML               |        180 |          0 |         23 |        203 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\error\506.html                                                                             | HTML               |        179 |          0 |         23 |        202 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\error\507.html                                                                             | HTML               |        179 |          0 |         23 |        202 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\error\509.html                                                                             | HTML               |        179 |          0 |         23 |        202 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\error\510.html                                                                             | HTML               |        179 |          0 |         23 |        202 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\error\ApacheIndex.html                                                                     | HTML               |        181 |          0 |         24 |        205 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\error\index.html                                                                           | HTML               |        181 |          0 |         24 |        205 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\error_report.php                                                                           | PHP                |        106 |         19 |         11 |        136 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\examples\config.manyhosts.inc.php                                                          | PHP                |         41 |          9 |          3 |         53 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\examples\openid.php                                                                        | PHP                |        112 |         46 |         19 |        177 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\examples\signon-script.php                                                                 | PHP                |          9 |         22 |          5 |         36 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\examples\signon.php                                                                        | PHP                |         50 |         23 |          3 |         76 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\export.php                                                                                 | PHP                |        430 |         80 |         44 |        554 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\gis_data_editor.php                                                                        | PHP                |        367 |         24 |         44 |        435 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\import.php                                                                                 | PHP                |        599 |        100 |         86 |        785 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\import_status.php                                                                          | PHP                |         35 |         72 |         15 |        122 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\index.php                                                                                  | PHP                |        545 |         82 |         63 |        690 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\ajax.js                                                                                 | JavaScript         |        538 |        271 |         26 |        835 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\chart.js                                                                                | JavaScript         |        527 |        108 |         42 |        677 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\codemirror\addon\lint\sql-lint.js                                                       | JavaScript         |         34 |          1 |          4 |         39 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\common.js                                                                               | JavaScript         |        332 |        193 |         26 |        551 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\config.js                                                                               | JavaScript         |        577 |        229 |         61 |        867 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\console.js                                                                              | JavaScript         |      1,171 |        272 |         53 |      1,496 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\cross_framing_protection.js                                                             | JavaScript         |          8 |          6 |          1 |         15 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\db_central_columns.js                                                                   | JavaScript         |        218 |         17 |          6 |        241 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\db_multi_table_query.js                                                                 | JavaScript         |        178 |         17 |         21 |        216 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\db_operations.js                                                                        | JavaScript         |        108 |         44 |         16 |        168 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\db_qbe.js                                                                               | JavaScript         |         35 |         34 |         11 |         80 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\db_query_generator.js                                                                   | JavaScript         |        109 |         10 |          9 |        128 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\db_search.js                                                                            | JavaScript         |        156 |         68 |         23 |        247 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\db_structure.js                                                                         | JavaScript         |        290 |        108 |         30 |        428 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\db_tracking.js                                                                          | JavaScript         |         71 |         15 |          8 |         94 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\designer\database.js                                                                    | JavaScript         |        109 |          1 |         27 |        137 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\designer\history.js                                                                     | JavaScript         |        632 |        163 |         61 |        856 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\designer\init.js                                                                        | JavaScript         |         50 |          4 |         13 |         67 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\designer\move.js                                                                        | JavaScript         |      1,854 |         99 |        158 |      2,111 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\designer\objects.js                                                                     | JavaScript         |         14 |          0 |          2 |         16 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\designer\page.js                                                                        | JavaScript         |        147 |          1 |         13 |        161 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\doclinks.js                                                                             | JavaScript         |        355 |          6 |          5 |        366 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\error_report.js                                                                         | JavaScript         |        203 |         89 |         18 |        310 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\export.js                                                                               | JavaScript         |        812 |        111 |         74 |        997 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\export_output.js                                                                        | JavaScript         |          8 |          1 |          1 |         10 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\functions.js                                                                            | JavaScript         |      3,725 |      1,068 |        326 |      5,119 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\gis_data_editor.js                                                                      | JavaScript         |        251 |        101 |         43 |        395 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\import.js                                                                               | JavaScript         |        101 |         37 |         18 |        156 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\indexes.js                                                                              | JavaScript         |        535 |        156 |         62 |        753 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\jqplot\plugins\jqplot.byteFormatter.js                                                  | JavaScript         |         36 |         10 |          1 |         47 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\keyhandler.js                                                                           | JavaScript         |        108 |         13 |         20 |        141 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\makegrid.js                                                                             | JavaScript         |      1,606 |        470 |        208 |      2,284 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\menu-resizer.js                                                                         | JavaScript         |        177 |         37 |          9 |        223 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\messages.php                                                                            | PHP                |        783 |        117 |         89 |        989 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\microhistory.js                                                                         | JavaScript         |        177 |        154 |          5 |        336 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\multi_column_sort.js                                                                    | JavaScript         |         56 |         23 |          6 |         85 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\navigation.js                                                                           | JavaScript         |      1,240 |        350 |         70 |      1,660 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\normalization.js                                                                        | JavaScript         |        697 |         13 |         20 |        730 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\page_settings.js                                                                        | JavaScript         |         42 |         10 |          8 |         60 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\replication.js                                                                          | JavaScript         |         78 |          8 |          7 |         93 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\rte.js                                                                                  | JavaScript         |        668 |        382 |         26 |      1,076 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\server_databases.js                                                                     | JavaScript         |         95 |         37 |         19 |        151 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\server_plugins.js                                                                       | JavaScript         |         11 |          5 |          1 |         17 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\server_privileges.js                                                                    | JavaScript         |        346 |         93 |         40 |        479 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\server_status_advisor.js                                                                | JavaScript         |         75 |         12 |         15 |        102 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\server_status_monitor.js                                                                | JavaScript         |      1,748 |        162 |        272 |      2,182 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\server_status_processes.js                                                              | JavaScript         |        109 |         70 |         11 |        190 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\server_status_queries.js                                                                | JavaScript         |         23 |          8 |          4 |         35 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\server_status_sorter.js                                                                 | JavaScript         |         64 |          2 |          5 |         71 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\server_status_variables.js                                                              | JavaScript         |         76 |         13 |         12 |        101 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\server_user_groups.js                                                                   | JavaScript         |         32 |          7 |          3 |         42 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\server_variables.js                                                                     | JavaScript         |         96 |          7 |         10 |        113 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\shortcuts_handler.js                                                                    | JavaScript         |         85 |         11 |          6 |        102 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\sql.js                                                                                  | JavaScript         |        689 |        246 |         89 |      1,024 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\tbl_change.js                                                                           | JavaScript         |        487 |        166 |         56 |        709 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\tbl_chart.js                                                                            | JavaScript         |        358 |         23 |         43 |        424 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\tbl_find_replace.js                                                                     | JavaScript         |         37 |          6 |          4 |         47 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\tbl_gis_visualization.js                                                                | JavaScript         |        251 |         75 |         40 |        366 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\tbl_operations.js                                                                       | JavaScript         |        261 |         39 |         24 |        324 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\tbl_relation.js                                                                         | JavaScript         |        182 |         43 |         19 |        244 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\tbl_select.js                                                                           | JavaScript         |        313 |         64 |         37 |        414 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\tbl_structure.js                                                                        | JavaScript         |        361 |         95 |         45 |        501 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\tbl_tracking.js                                                                         | JavaScript         |         84 |         15 |          8 |        107 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\tbl_zoom_plot_jqplot.js                                                                 | JavaScript         |        471 |        113 |         45 |        629 |
| c:\Users\29032\Desktop\daershang\database\phpMyAdmin4.8.5\js\transformations\image_upload.js                                                         | JavaScript         |         15 |         11 |          3 |         29 |
